Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Linear Regression (OLS),11.216983443228724,0.06809975920313792,13.62746243752978,0.08702230379323017,0.39504757509528343,0.009726603809971524
Ridge Regression (alpha=10),11.226699816422064,0.07448120128880685,13.624665981183426,0.10032057962172135,0.39528766080991107,0.010683594401798158
Random Forest,9.978627059681543,0.14900716072719364,12.445532081171695,0.2196460375571241,0.4952406426991673,0.020012101443931285
XGBoost,9.71487007809242,0.14749030839654304,12.079896877824545,0.18446242932198934,0.5245193803607991,0.016336481780695942
